"RV272U: ABIELLUJAD | Aasta, Sugu, Asustuspiirkonna liik, Elukoht ning Vanuserühm"

"Aasta","Sugu","Asustuspiirkonna liik","Elukoht","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75 ja vanemad"
"2020","Naised","Linnaline ja väikelinnaline asustuspiirkond","Harju maakond",38,310,676,718,459,293,164,100,48,31,12,4,0
"2020","Naised","Linnaline ja väikelinnaline asustuspiirkond","..Tallinn",35,286,585,594,392,242,134,80,44,25,11,4,0
"2020","Naised","Linnaline ja väikelinnaline asustuspiirkond","Hiiu maakond",0,0,0,0,0,0,0,0,0,0,0,0,0
"2020","Naised","Linnaline ja väikelinnaline asustuspiirkond","Ida-Viru maakond",19,86,64,73,65,56,43,27,11,10,4,1,0
"2020","Naised","Linnaline ja väikelinnaline asustuspiirkond","Jõgeva maakond",0,3,4,2,4,0,0,1,0,0,1,0,0
"2020","Naised","Linnaline ja väikelinnaline asustuspiirkond","Järva maakond",0,3,11,4,2,4,6,6,0,1,0,0,0
"2020","Naised","Linnaline ja väikelinnaline asustuspiirkond","Lääne maakond",0,3,9,7,7,1,2,3,1,0,0,0,0
"2020","Naised","Linnaline ja väikelinnaline asustuspiirkond","Lääne-Viru maakond",0,7,14,19,9,8,10,4,2,2,0,0,1
"2020","Naised","Linnaline ja väikelinnaline asustuspiirkond","Põlva maakond",0,0,3,4,5,1,1,1,0,0,0,0,0
"2020","Naised","Linnaline ja väikelinnaline asustuspiirkond","Pärnu maakond",2,14,29,49,26,13,10,9,4,8,1,0,0
"2020","Naised","Linnaline ja väikelinnaline asustuspiirkond","Rapla maakond",1,3,4,6,8,2,1,3,1,0,0,0,1
"2020","Naised","Linnaline ja väikelinnaline asustuspiirkond","Saare maakond",0,2,12,16,13,5,2,5,1,1,0,0,0
"2020","Naised","Linnaline ja väikelinnaline asustuspiirkond","Tartu maakond",4,57,136,119,84,44,37,15,4,6,0,0,1
"2020","Naised","Linnaline ja väikelinnaline asustuspiirkond","Valga maakond",1,3,5,11,4,7,8,5,0,1,0,1,0
"2020","Naised","Linnaline ja väikelinnaline asustuspiirkond","Viljandi maakond",1,4,20,19,7,5,8,1,1,1,0,1,1
"2020","Naised","Linnaline ja väikelinnaline asustuspiirkond","Võru maakond",1,4,5,13,3,1,3,1,0,1,0,0,0
"2020","Naised","Maaline asustuspiirkond","Harju maakond",11,29,51,77,43,34,20,13,5,1,1,0,0
"2020","Naised","Maaline asustuspiirkond","..Tallinn",0,0,0,0,0,0,0,0,0,0,0,0,0
"2020","Naised","Maaline asustuspiirkond","Hiiu maakond",0,4,10,7,4,5,3,5,1,0,0,0,0
"2020","Naised","Maaline asustuspiirkond","Ida-Viru maakond",0,14,15,17,13,9,3,4,2,0,1,0,0
"2020","Naised","Maaline asustuspiirkond","Jõgeva maakond",0,7,18,16,5,7,8,4,3,0,0,0,1
"2020","Naised","Maaline asustuspiirkond","Järva maakond",1,6,9,12,7,3,5,3,0,1,0,1,0
"2020","Naised","Maaline asustuspiirkond","Lääne maakond",1,5,6,5,9,2,1,5,0,0,0,0,0
"2020","Naised","Maaline asustuspiirkond","Lääne-Viru maakond",3,18,36,28,20,10,6,8,2,1,0,1,0
"2020","Naised","Maaline asustuspiirkond","Põlva maakond",0,11,16,15,12,3,7,1,1,1,1,0,0
"2020","Naised","Maaline asustuspiirkond","Pärnu maakond",3,6,19,27,16,16,9,1,1,2,0,0,0
"2020","Naised","Maaline asustuspiirkond","Rapla maakond",0,9,15,28,9,11,6,5,2,2,1,0,1
"2020","Naised","Maaline asustuspiirkond","Saare maakond",0,7,16,16,8,3,6,3,0,0,0,0,1
"2020","Naised","Maaline asustuspiirkond","Tartu maakond",0,29,47,33,22,14,14,4,3,2,1,1,0
"2020","Naised","Maaline asustuspiirkond","Valga maakond",1,8,11,7,5,3,3,0,0,0,0,0,0
"2020","Naised","Maaline asustuspiirkond","Viljandi maakond",3,9,20,16,13,6,2,5,1,1,0,0,0
"2020","Naised","Maaline asustuspiirkond","Võru maakond",0,7,11,13,10,4,2,4,1,1,0,0,0
"2021","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Harju maakond",9,186,518,752,555,300,208,134,84,55,30,12,13
"2021","Mehed","Linnaline ja väikelinnaline asustuspiirkond","..Tallinn",7,172,445,624,446,236,163,108,71,49,25,8,12
"2021","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Hiiu maakond",0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Ida-Viru maakond",4,53,77,112,100,65,47,30,24,24,5,2,0
"2021","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Jõgeva maakond",0,0,7,6,4,1,2,1,2,0,0,0,0
"2021","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Järva maakond",1,7,6,7,11,4,7,0,4,1,0,0,0
"2021","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Lääne maakond",0,1,7,7,7,3,1,0,2,0,0,0,0
"2021","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Lääne-Viru maakond",0,7,5,17,11,7,5,2,4,1,3,0,1
"2021","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Põlva maakond",0,0,2,5,3,2,2,1,1,0,0,0,0
"2021","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Pärnu maakond",1,12,29,32,23,27,14,7,5,3,3,2,0
"2021","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Rapla maakond",0,0,2,4,4,5,2,2,0,0,0,0,0
"2021","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Saare maakond",0,3,5,18,11,6,6,3,6,2,0,0,0
"2021","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Tartu maakond",4,34,100,117,94,54,32,22,8,5,1,1,3
"2021","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Valga maakond",1,4,8,13,3,5,4,1,2,3,1,0,0
"2021","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Viljandi maakond",0,1,13,16,7,7,6,4,3,2,0,0,0
"2021","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Võru maakond",0,3,5,10,8,0,5,2,0,1,0,1,0
"2021","Mehed","Maaline asustuspiirkond","Harju maakond",1,11,39,72,62,39,26,19,15,5,5,1,1
"2021","Mehed","Maaline asustuspiirkond","..Tallinn",0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","Mehed","Maaline asustuspiirkond","Hiiu maakond",0,2,5,4,6,5,0,2,3,1,1,0,0
"2021","Mehed","Maaline asustuspiirkond","Ida-Viru maakond",1,14,15,18,13,11,10,7,3,5,6,1,0
"2021","Mehed","Maaline asustuspiirkond","Jõgeva maakond",0,3,12,18,14,10,7,2,4,0,3,0,0
"2021","Mehed","Maaline asustuspiirkond","Järva maakond",0,3,8,16,17,8,5,5,4,2,1,0,1
"2021","Mehed","Maaline asustuspiirkond","Lääne maakond",0,1,6,13,7,2,3,3,1,0,0,0,0
"2021","Mehed","Maaline asustuspiirkond","Lääne-Viru maakond",0,9,22,34,18,16,18,9,6,1,2,3,0
"2021","Mehed","Maaline asustuspiirkond","Põlva maakond",0,3,10,16,9,9,3,5,1,1,1,0,0
"2021","Mehed","Maaline asustuspiirkond","Pärnu maakond",0,7,35,13,24,16,11,9,4,5,3,1,0
"2021","Mehed","Maaline asustuspiirkond","Rapla maakond",1,4,13,22,20,16,14,10,6,3,2,1,0
"2021","Mehed","Maaline asustuspiirkond","Saare maakond",0,6,12,15,11,8,4,6,2,4,1,0,0
"2021","Mehed","Maaline asustuspiirkond","Tartu maakond",1,13,41,52,43,23,19,14,5,6,0,0,1
"2021","Mehed","Maaline asustuspiirkond","Valga maakond",0,6,9,23,7,7,2,6,2,2,1,0,0
"2021","Mehed","Maaline asustuspiirkond","Viljandi maakond",0,5,11,26,20,8,10,10,3,3,2,0,0
"2021","Mehed","Maaline asustuspiirkond","Võru maakond",0,4,14,21,12,7,3,4,5,1,1,0,0
"2021","Naised","Linnaline ja väikelinnaline asustuspiirkond","Harju maakond",29,308,691,761,486,274,195,101,61,27,20,5,1
"2021","Naised","Linnaline ja väikelinnaline asustuspiirkond","..Tallinn",26,275,600,610,399,220,169,84,54,24,19,5,1
"2021","Naised","Linnaline ja väikelinnaline asustuspiirkond","Hiiu maakond",0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","Naised","Linnaline ja väikelinnaline asustuspiirkond","Ida-Viru maakond",26,78,71,105,105,58,43,26,16,11,8,1,0
"2021","Naised","Linnaline ja väikelinnaline asustuspiirkond","Jõgeva maakond",1,1,7,4,3,2,2,3,0,0,0,0,0
"2021","Naised","Linnaline ja väikelinnaline asustuspiirkond","Järva maakond",1,4,8,6,8,5,1,6,0,0,1,0,0
"2021","Naised","Linnaline ja väikelinnaline asustuspiirkond","Lääne maakond",0,1,11,11,3,4,0,1,1,1,0,0,0
"2021","Naised","Linnaline ja väikelinnaline asustuspiirkond","Lääne-Viru maakond",1,6,13,8,12,10,7,4,2,4,1,0,1
"2021","Naised","Linnaline ja väikelinnaline asustuspiirkond","Põlva maakond",0,2,7,8,1,0,1,1,0,0,1,0,0
"2021","Naised","Linnaline ja väikelinnaline asustuspiirkond","Pärnu maakond",2,16,39,44,31,23,17,10,5,3,0,1,0
"2021","Naised","Linnaline ja väikelinnaline asustuspiirkond","Rapla maakond",0,1,2,3,8,1,3,1,0,0,0,1,0
"2021","Naised","Linnaline ja väikelinnaline asustuspiirkond","Saare maakond",1,1,8,20,6,5,3,3,3,4,1,0,0
"2021","Naised","Linnaline ja väikelinnaline asustuspiirkond","Tartu maakond",11,68,114,131,66,34,40,16,7,4,1,2,0
"2021","Naised","Linnaline ja väikelinnaline asustuspiirkond","Valga maakond",3,6,7,6,5,6,3,4,0,1,1,0,0
"2021","Naised","Linnaline ja väikelinnaline asustuspiirkond","Viljandi maakond",0,3,14,20,4,6,3,2,1,1,0,0,0
"2021","Naised","Linnaline ja väikelinnaline asustuspiirkond","Võru maakond",1,1,8,7,6,4,3,1,1,0,0,0,0
"2021","Naised","Maaline asustuspiirkond","Harju maakond",3,30,54,66,47,38,19,10,5,2,0,3,1
"2021","Naised","Maaline asustuspiirkond","..Tallinn",.,.,.,.,.,.,.,.,.,.,.,.,.
"2021","Naised","Maaline asustuspiirkond","Hiiu maakond",0,3,0,7,2,4,0,1,3,0,0,0,0
"2021","Naised","Maaline asustuspiirkond","Ida-Viru maakond",6,9,9,12,9,12,5,5,4,1,3,0,0
"2021","Naised","Maaline asustuspiirkond","Jõgeva maakond",1,3,15,19,9,4,6,1,1,2,1,0,0
"2021","Naised","Maaline asustuspiirkond","Järva maakond",0,7,13,12,6,4,7,3,1,2,1,0,0
"2021","Naised","Maaline asustuspiirkond","Lääne maakond",0,2,4,7,6,2,2,2,1,0,0,0,0
"2021","Naised","Maaline asustuspiirkond","Lääne-Viru maakond",1,12,26,22,19,13,13,2,1,4,1,1,1
"2021","Naised","Maaline asustuspiirkond","Põlva maakond",0,4,10,17,11,3,3,1,1,2,0,0,0
"2021","Naised","Maaline asustuspiirkond","Pärnu maakond",2,7,20,16,18,11,3,7,2,3,2,0,0
"2021","Naised","Maaline asustuspiirkond","Rapla maakond",1,7,19,21,14,12,11,6,3,3,0,0,0
"2021","Naised","Maaline asustuspiirkond","Saare maakond",2,11,13,12,12,8,3,3,1,2,1,0,0
"2021","Naised","Maaline asustuspiirkond","Tartu maakond",0,18,42,51,33,13,14,6,6,1,2,0,1
"2021","Naised","Maaline asustuspiirkond","Valga maakond",0,6,12,13,4,5,2,5,1,1,0,0,0
"2021","Naised","Maaline asustuspiirkond","Viljandi maakond",2,9,15,21,11,7,3,6,3,2,0,0,0
"2021","Naised","Maaline asustuspiirkond","Võru maakond",1,5,17,12,10,3,1,2,1,2,1,0,0
